### QueryPerformanceFrequency = 10000000 Hz ###
3113613754,arrve=,0x000000000001048F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113614662,arrve=,0x00000000000501C9, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615282,arrve=,0x000000000002004B, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615849,arrve=,0x000000000002004D, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616395,arrve=,0x0000000000020051, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616927,arrve=,0x0000000000020053, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617452,arrve=,0x000000000002004F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617969,arrve=,0x0000000000020055, =,, =,, =,, =,, os=,(827 260 311125 0)
3296171823,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329375 0)
3296323357,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329390 0)
3296942613,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329453 0)
3297407797,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329500 0)
3297561801,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329515 0)
3298183002,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329578 0)
3298194635,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329578 0)
3298799418,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329640 0)
3298956011,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329656 0)
3299862112,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329734 0)
